strategy,stats_down_beta,stats_pricechange_modsharpe,stats_profit_factor,stats_recovery_factor,stats_up_beta,rating,stats_betas_ratio,stats_betas_difference
"(1, 1, 6, 5)",-0.1323992470743827,0.006752568297672005,0.540569393587324,0.5868002058116529,-0.14718248256769123,4.0,0.5692045890056731,-0.014783235493308526
"(1, 11, 10, 5)",-0.027490150833402054,0.011149153523983109,0.5839290229150452,0.6465149104673173,-0.025160439083274894,4.0,0.4894148337270446,0.0023297117501271613
"(1, 12, 5, 5)",-0.01824026712891215,0.008845729483041328,0.4176074945751148,0.5683464280434863,-0.03416414314896557,5.0,0.7076401666279829,-0.015923876020053417
"(1, 13, 1, 5)",-0.0356404438142711,0.012115662469065697,0.3940789908523686,0.6225682829639985,-0.06965950373410293,5.0,0.6705846021236876,-0.03401905991983183
"(1, 14, 3, 5)",-0.11881327768857258,0.017617968942450987,0.5979709846771457,0.6711491549845569,-0.09292485256017138,5.0,0.41019176818171577,0.0258884251284012
"(1, 19, 4, 5)",-0.24912503351974474,0.021885448683294784,0.5621896539730948,0.7438759493581243,-0.10258830137283254,5.0,0.18987294777039493,0.1465367321469122
"(1, 19, 9, 5)",-0.010473609286411053,0.005258272982245193,0.3411734426769475,0.33579660503039915,-0.028810391714836684,5.0,0.8772329792450736,-0.01833678242842563
"(1, 2, 6, 5)",-0.2861782528191525,0.005164994192605729,0.45582866861648313,0.3238399386828379,-0.4216422101156079,5.0,0.6397582452395573,-0.13546395729645538
"(1, 24, 2, 5)",-0.01161377067816337,0.011458044734731736,0.34768085222210104,0.6601808698150374,-0.026057538883844905,5.0,0.664925153605429,-0.014443768205681537
"(1, 26, 5, 5)",-0.020647531015194016,0.003283797448975309,0.23959731540996995,0.136855673543315,-0.08703999891420583,4.0,0.954695043456247,-0.06639246789901182
"(1, 29, 10, 5)",-0.017981473312499257,0.011566042326282113,0.37548536401143984,0.46097374419446335,-0.04428610880366417,4.0,0.8021244595308509,-0.02630463549116491
"(1, 2, 10, 1, 30)",0.0014726053670709401,-0.008259338284711938,0.32033973186619075,-0.31630071328185594,0.0034625349763305934,3.0,0.8928885601022705,0.0019899296092596532
"(1, 10, 9.5, 12, 20)",-0.0284728801078295,-0.004019363326861936,0.9351891128296049,-0.17219801308669785,-0.00922443120593446,2.0,0.3073869132454731,0.01924844890189504
"(1, 15, 8.0, 10, 20)",-0.004463097640891681,-0.0004221267252210582,0.17210988237230496,-0.018875302435822392,-0.02525338775023365,2.0,0.9843433568427884,-0.020790290109341972
"(1, 15, 9.0, 12, 20)",-0.0284728801078295,-0.004019363326861936,0.9351891128296049,-0.17219801308669785,-0.00922443120593446,2.0,0.3073869132454731,0.01924844890189504
"(1, 15, 9.5, 13, 20)",0.04109593091074447,-0.016176388326293804,0.6003872066580956,-0.37423152281026567,0.04151269410903704,2.0,0.7041391488022388,0.0004167631982925742
"(1, 20, 10.0, 10, 20)",-0.004463097640891681,-0.0004221267252210582,0.17210988237230496,-0.018875302435822392,-0.02525338775023365,2.0,0.9843433568427884,-0.020790290109341972
"(1, 20, 9.0, 12, 20)",-0.0284728801078295,-0.004019363326861936,0.9351891128296049,-0.17219801308669785,-0.00922443120593446,3.0,0.3073869132454731,0.01924844890189504
"(1, 20, 9.5, 11, 20)",0.16197167857765576,-0.012961434989466638,0.877753171464637,-0.3159193407061113,0.050195821106906985,2.0,0.29720035989786403,-0.11177585747074878
"(1, 25, 9.5, 10, 20)",-0.004463097640891681,-0.0004221267252210582,0.17210988237230496,-0.018875302435822392,-0.02525338775023365,2.0,0.9843433568427884,-0.020790290109341972
